txid,vin,network,scriptHex,controlBlockHex,expected,blockHeight,source
5dcb7e8d7d0c1adf22d3435366afd56fd3aba94fe2a0f2261ce2b8576f5cfb59,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0622090ddd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjwnvx88r0r6g77mwuh64mu36nxn92ryshczrv3ew6lyp7v9q2jqqxfsnf0,787999,public-sample-v0.1.0
2fc82c2a071bddd6493b83bdf8a29b3cb9fe76c6f56f831573a597e79e120137,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0622090ddd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjwnvx88r0r6g77mwuh64mu36nxn92ryshczrv3ew6lyp7v9q2jqqxfsnf0,787999,public-sample-v0.1.0
41b362193074086491f8e010dfbfc315d85db354fb268de3d56a79910b648919,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0622090ddd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjwnvx88r0r6g77mwuh64mu36nxn92ryshczrv3ew6lyp7v9q2jqqxfsnf0,787999,public-sample-v0.1.0
fc34e49bf72865acf8b03456a2968a5a74c5d1e4a18cbc1bf02b760ac8047c19,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0622090ddd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjwnvx88r0r6g77mwuh64mu36nxn92ryshczrv3ew6lyp7v9q2jqqxfsnf0,787999,public-sample-v0.1.0
bca69335bd40521d3a2587e1e9c9827193e9db70057c99e43316ccd1d1be8603,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0622090ddd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjwnvx88r0r6g77mwuh64mu36nxn92ryshczrv3ew6lyp7v9q2jqqxfsnf0,787999,public-sample-v0.1.0
1749d817d04ac777baa3079ce2903c37816f88062bca634a945868765136f601,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0622090ddd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjwnvx88r0r6g77mwuh64mu36nxn92ryshczrv3ew6lyp7v9q2jqqxfsnf0,787999,public-sample-v0.1.0
8d69433ad9a38a7f6d3f604f60bbaccff4d137726565b96446f1bb0d269ee6f6,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06df7f05dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1puje5r5g2ajqcy88aaxwj36d0rn3gjhhdx8m6nv25mhuq278mwrqqwgdktp,787999,public-sample-v0.1.0
e7281a16fb4936baea873466bae8585780f1f13cc9fc3f48aecaf0a2c2eb2bf0,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06df7f05dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1puje5r5g2ajqcy88aaxwj36d0rn3gjhhdx8m6nv25mhuq278mwrqqwgdktp,787999,public-sample-v0.1.0
aa324ad2da68019911803ffeb05f28c1944317bca9ae936b97979b462d2266d4,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06df7f05dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1puje5r5g2ajqcy88aaxwj36d0rn3gjhhdx8m6nv25mhuq278mwrqqwgdktp,787999,public-sample-v0.1.0
f37c0bae1fe44fdd6e9b5f65b8e24dae5c5aab2cc81b553392aafea3d118e5be,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06df7f05dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1puje5r5g2ajqcy88aaxwj36d0rn3gjhhdx8m6nv25mhuq278mwrqqwgdktp,787999,public-sample-v0.1.0
